epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.09,2.96839,2.96082,1.01769,0.4873,0.38189,0.37536,0.12673,2.494,1.91955,0.89094,0.00333025,0.00333025,0.00333025
2,533.76,2.57938,2.06947,0.92988,0.51541,0.37261,0.36866,0.12294,2.57729,1.95205,0.90569,0.00659762,0.00659762,0.00659762
3,793.128,2.57871,2.16815,0.93433,0.46472,0.38247,0.34039,0.10284,2.53637,2.08429,0.89694,0.00979898,0.00979898,0.00979898
4,1043.17,2.58681,2.23473,0.94076,0.46344,0.35057,0.33622,0.12451,2.47029,2.0575,0.89677,0.009703,0.009703,0.009703
5,1292.8,2.44335,2.06866,0.91603,0.48966,0.37203,0.38282,0.16327,2.21154,1.98315,0.87102,0.009604,0.009604,0.009604
6,1548.1,2.35779,1.93847,0.90726,0.59855,0.45754,0.47359,0.17709,2.35467,1.69029,0.88714,0.009505,0.009505,0.009505
7,1804.17,2.26713,1.81773,0.90278,0.64433,0.52196,0.56,0.24543,1.97569,1.56828,0.84397,0.009406,0.009406,0.009406
8,2062.51,2.22349,1.75951,0.89469,0.62466,0.48456,0.53316,0.23581,1.95933,1.60937,0.84409,0.009307,0.009307,0.009307
9,2312.45,2.18149,1.71627,0.89048,0.69311,0.53787,0.60877,0.27581,1.89325,1.48559,0.83661,0.009208,0.009208,0.009208
10,2567.4,2.13605,1.65286,0.88386,0.68805,0.56317,0.6069,0.27211,1.888,1.4865,0.8367,0.009109,0.009109,0.009109
11,2831.49,2.09693,1.61863,0.88259,0.6793,0.56529,0.60682,0.27807,1.88066,1.43464,0.83688,0.00901,0.00901,0.00901
12,3095.84,2.08442,1.58944,0.88263,0.70776,0.56936,0.63141,0.28481,1.84452,1.4319,0.8319,0.008911,0.008911,0.008911
13,3360.21,2.05924,1.54665,0.8756,0.73367,0.5711,0.62257,0.28254,1.86852,1.43285,0.83682,0.008812,0.008812,0.008812
14,3624.42,2.03264,1.49907,0.87558,0.72158,0.56916,0.63091,0.28436,1.88557,1.4281,0.8387,0.008713,0.008713,0.008713
15,3888.6,2.00545,1.47198,0.87057,0.75857,0.61849,0.68075,0.3156,1.79366,1.31024,0.82781,0.008614,0.008614,0.008614
16,4153.58,1.99725,1.47243,0.87116,0.7405,0.61444,0.67567,0.31462,1.81116,1.33037,0.8285,0.008515,0.008515,0.008515
17,4403.27,1.96782,1.42732,0.86839,0.77151,0.59741,0.67184,0.31574,1.79672,1.35483,0.82657,0.008416,0.008416,0.008416
18,4665.12,1.95707,1.41953,0.86693,0.7568,0.62681,0.68475,0.31719,1.79714,1.30017,0.82575,0.008317,0.008317,0.008317
19,4929.49,1.948,1.39413,0.86585,0.77171,0.639,0.69929,0.32152,1.82051,1.26968,0.82873,0.008218,0.008218,0.008218
20,5193.36,1.92613,1.36191,0.86467,0.75834,0.66376,0.70999,0.3353,1.76553,1.23834,0.82227,0.008119,0.008119,0.008119
21,5457.13,1.91026,1.35785,0.86105,0.79171,0.65409,0.7206,0.33457,1.74742,1.23,0.82145,0.00802,0.00802,0.00802
22,5721.52,1.91164,1.35353,0.86421,0.77894,0.65374,0.71581,0.34115,1.72455,1.24327,0.82102,0.007921,0.007921,0.007921
23,5985.77,1.89569,1.33543,0.86135,0.77316,0.65332,0.71042,0.33279,1.76381,1.23953,0.82357,0.007822,0.007822,0.007822
24,6249.79,1.88463,1.31716,0.85932,0.78241,0.67267,0.7212,0.34677,1.71476,1.21177,0.82051,0.007723,0.007723,0.007723
25,6513.95,1.87695,1.30047,0.85937,0.80863,0.66183,0.72193,0.34633,1.73662,1.1947,0.81939,0.007624,0.007624,0.007624
26,6778.14,1.8643,1.28957,0.85701,0.80534,0.67233,0.73645,0.35613,1.70607,1.18787,0.81791,0.007525,0.007525,0.007525
27,7042.07,1.85937,1.26982,0.85937,0.79437,0.67785,0.73537,0.35894,1.69225,1.18467,0.81614,0.007426,0.007426,0.007426
28,7305.95,1.84697,1.26539,0.8557,0.78025,0.70478,0.74376,0.35896,1.71007,1.18289,0.81838,0.007327,0.007327,0.007327
29,7569.8,1.83501,1.25074,0.85574,0.79522,0.68388,0.73809,0.36046,1.66801,1.15539,0.81523,0.007228,0.007228,0.007228
30,7831.26,1.81944,1.2422,0.85539,0.80371,0.67924,0.73341,0.3571,1.69707,1.17825,0.81925,0.007129,0.007129,0.007129
31,8095.18,1.82408,1.23551,0.8517,0.80293,0.69588,0.74405,0.3612,1.6873,1.15234,0.81705,0.00703,0.00703,0.00703
32,8358.91,1.81817,1.21971,0.85345,0.80725,0.6895,0.74945,0.36585,1.67575,1.14871,0.81682,0.006931,0.006931,0.006931
33,8623.17,1.80615,1.20531,0.85097,0.81881,0.70342,0.76258,0.37792,1.66935,1.13923,0.81667,0.006832,0.006832,0.006832
34,8887.08,1.79625,1.20165,0.85094,0.81127,0.69688,0.75955,0.37564,1.66316,1.14818,0.8152,0.006733,0.006733,0.006733
35,9151.3,1.79241,1.18935,0.84995,0.80565,0.70574,0.75871,0.37336,1.65503,1.14423,0.81447,0.006634,0.006634,0.006634
36,9415.01,1.77885,1.17024,0.84977,0.80443,0.71639,0.75878,0.37405,1.67091,1.13931,0.81548,0.006535,0.006535,0.006535
37,9678.84,1.76553,1.16728,0.84764,0.81185,0.71136,0.76347,0.3738,1.66822,1.13516,0.8141,0.006436,0.006436,0.006436
38,9942.94,1.76865,1.16115,0.84881,0.81944,0.71213,0.76527,0.36955,1.67541,1.14188,0.81431,0.006337,0.006337,0.006337
39,10206.9,1.76291,1.1574,0.84828,0.79209,0.71788,0.75893,0.36793,1.68621,1.14204,0.81656,0.006238,0.006238,0.006238
40,10470.6,1.75635,1.15054,0.84693,0.80955,0.71379,0.76762,0.37401,1.66646,1.12252,0.81485,0.006139,0.006139,0.006139
41,10734.3,1.74092,1.13038,0.84521,0.80982,0.71755,0.7668,0.37699,1.66355,1.11958,0.81429,0.00604,0.00604,0.00604
42,10998.1,1.7466,1.13526,0.84715,0.81767,0.71663,0.76651,0.38156,1.65706,1.1129,0.8139,0.005941,0.005941,0.005941
43,11261.9,1.74323,1.12189,0.84804,0.82881,0.7131,0.77447,0.3845,1.64772,1.09377,0.81397,0.005842,0.005842,0.005842
44,11525.8,1.73158,1.10433,0.84605,0.81689,0.72239,0.77451,0.38688,1.66042,1.09677,0.81377,0.005743,0.005743,0.005743
45,11789.5,1.71292,1.10162,0.8434,0.83456,0.72026,0.77835,0.39183,1.64132,1.08644,0.81326,0.005644,0.005644,0.005644
46,12053.4,1.71377,1.08643,0.84379,0.81975,0.73593,0.77967,0.38631,1.66732,1.08302,0.81341,0.005545,0.005545,0.005545
47,12317.3,1.71677,1.09497,0.8441,0.82848,0.72799,0.78129,0.38763,1.66784,1.08679,0.81429,0.005446,0.005446,0.005446
48,12581,1.70356,1.08087,0.84232,0.8241,0.72799,0.78309,0.39214,1.65566,1.07831,0.81218,0.005347,0.005347,0.005347
49,12844.7,1.69923,1.07448,0.84215,0.83188,0.73457,0.78836,0.39155,1.65587,1.06811,0.81193,0.005248,0.005248,0.005248
50,13108.5,1.69329,1.05951,0.84188,0.8346,0.7309,0.78742,0.39817,1.63616,1.06688,0.81016,0.005149,0.005149,0.005149
51,13371.8,1.68312,1.05198,0.84204,0.83522,0.73225,0.78876,0.39687,1.63559,1.06598,0.81007,0.00505,0.00505,0.00505
52,13635.5,1.67052,1.03987,0.83991,0.83059,0.73825,0.79494,0.39957,1.63154,1.06219,0.8107,0.004951,0.004951,0.004951
53,13899.4,1.67249,1.0493,0.83853,0.83319,0.73863,0.79568,0.4019,1.63296,1.05807,0.81016,0.004852,0.004852,0.004852
54,14163.1,1.66677,1.03952,0.84183,0.83469,0.73496,0.79738,0.4012,1.63051,1.05393,0.81046,0.004753,0.004753,0.004753
